Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
116,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0,Matches
117,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.20,1,0,0,0,0,2,Matches
118,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,13.5,48,3.55,31,9,2,3,3,0,4,0.30,4,0,0,0,0,0,Matches
119,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,8.4,21,2.50,12,4,1,2,2,0,0,0.00,0,0,0,0,0,0,Matches
120,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,0.9,2,2.14,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,3.8,9,2.39,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
122,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,6.0,4,0.66,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,16.2,31,1.91,25,2,2,0,1,1,1,0.06,1,0,0,0,0,0,Matches
125,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,22.2,22,0.99,14,0,1,7,0,0,4,0.18,1,0,0,3,0,0,Matches
126,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,10.5,23,2.20,19,2,0,1,0,1,2,0.19,1,0,0,1,0,0,Matches
